Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG_x,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Notes,Gls,Sh_x,SoT,SoT%,G/Sh,G/SoT,Dist,FK_x,PK,PKatt_x,xG_y,npxG,npxG/Sh,G-xG,np:G-xG,SoTA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt_y,PKA,PKsv,PKm,Cmp_x,Att_x,Cmp%_x,Att (GK),Thr,Launch%,AvgLen,Att_x,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Cmp_y,Att_y,Cmp%_y,TotDist,PrgDist,Cmp_y,Att_y,Cmp%_y,Cmp_y,Att_y,Cmp%_y,Cmp_y,Att_y,Cmp%_y,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK_y,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,SCA,PassLive,PassDead,TO,Sh_y,Fld,Def,GCA,PassLive,PassDead,TO,Sh_y,Fld,Def
2024-08-17,21:30,La Liga,Matchweek 1,Sat,Away,W,2.0,1.0,Valencia,3.2,1.0,63.0,46673.0,Marc-André ter Stegen,4-2-3-1,4-4-2,,,2,17,5,29.4,0.06,0.2,18.6,1,1,1,3.2,2.4,0.14,-1.2,-1.4,1,0,0.0,0,0.9,-0.1,0,0,0,0,2,8,25.0,38,6,18.4,30.8,5,20.0,24.0,10,0,0.0,0,2.0,526,617,85.3,9276,3050,225,253,88.9,250,278,89.9,43,65,66.2,1,2.3,1.3,14,38,12,3,50,617,569,47,16,2,6,16,16,8,1,2,0,526,1,6,33,22,2,2,4,3,0,3,1,0,0,1,1,0
2024-08-24,19:00,La Liga,Matchweek 2,Sat,Home,W,2.0,1.0,Athletic Club,1.8,1.0,64.0,46448.0,Marc-André ter Stegen,4-2-3-1,4-2-3-1,,,2,13,5,38.5,0.15,0.4,16.6,0,0,0,1.8,1.8,0.14,0.2,0.2,2,1,100.0,0,0.8,-0.2,1,1,0,0,4,5,80.0,35,10,11.4,27.0,6,16.7,20.8,16,1,6.3,2,13.1,527,609,86.5,9569,3274,228,259,88.0,234,258,90.7,57,68,83.8,0,1.6,1.2,11,39,14,2,53,609,559,48,20,3,6,14,15,5,0,1,0,527,2,12,24,18,1,2,0,3,0,4,3,0,0,0,1,0
2024-08-27,21:30,La Liga,Matchweek 3,Tue,Away,W,2.0,1.0,Rayo Vallecano,1.4,0.4,64.0,14031.0,Marc-André ter Stegen,4-2-3-1,4-4-2,,,2,22,5,22.7,0.09,0.4,19.3,1,0,0,1.4,1.4,0.06,0.6,0.6,4,3,75.0,0,0.4,-0.6,0,0,0,0,1,5,20.0,31,4,12.9,25.9,5,20.0,17.0,15,1,6.7,1,12.2,478,575,83.1,8171,3105,215,248,86.7,219,244,89.8,38,60,63.3,2,1.2,1.8,17,39,13,4,55,575,516,58,20,0,7,16,25,6,1,1,0,478,1,15,43,36,2,3,1,1,0,4,3,0,1,0,0,0
2024-08-31,17:00,La Liga,Matchweek 4,Sat,Home,W,7.0,0.0,Valladolid,4.7,0.5,70.0,44359.0,Marc-André ter Stegen,4-3-3,4-1-4-1,Isidro Díaz de Mera,,7,23,11,47.8,0.3,0.64,13.7,1,0,0,4.7,4.7,0.21,2.3,2.3,1,1,100.0,1,0.3,0.3,0,0,0,0,1,2,50.0,31,6,6.5,23.3,2,0.0,7.5,3,0,0.0,1,26.0,571,636,89.8,10026,2987,239,261,91.6,297,316,94.0,31,44,70.5,6,4.1,2.5,17,54,14,2,62,636,589,43,15,8,4,17,15,10,1,6,0,571,4,5,38,24,3,4,6,1,0,10,7,0,2,1,0,0
2024-09-15,16:15,La Liga,Matchweek 5,Sun,Away,W,4.0,1.0,Girona,1.9,1.3,55.0,13891.0,Marc-André ter Stegen,4-2-3-1,4-2-3-1,Alejandro Muñíz,,4,20,9,45.0,0.2,0.44,19.1,0,0,0,1.9,1.9,0.09,2.1,2.1,4,3,75.0,0,1.3,0.3,0,0,0,0,5,8,62.5,43,5,18.6,28.8,5,0.0,26.6,11,1,9.1,2,17.3,443,522,84.9,8299,2994,175,195,89.7,211,227,93.0,51,72,70.8,3,1.2,1.0,14,35,10,0,47,522,466,56,20,3,1,19,23,6,1,4,0,443,0,15,30,24,3,1,1,1,0,6,4,1,0,0,1,0
2024-09-19,21:00,Champions Lg,League phase,Thu,Away,L,1.0,2.0,fr Monaco,0.4,1.3,44.0,13296.0,Marc-André ter Stegen,4-2-3-1,4-2-3-1,Allard Lindhout,,1,4,1,25.0,0.25,1.0,18.5,1,0,0,0.4,0.4,0.1,0.6,0.6,8,6,75.0,0,2.1,0.1,0,0,0,0,4,13,30.8,50,12,18.0,30.3,8,50.0,38.4,16,4,25.0,9,17.3,300,378,79.4,5469,2186,133,149,89.3,131,153,85.6,31,58,53.4,1,0.4,0.2,3,16,3,1,35,378,327,49,21,0,4,6,17,0,0,0,0,300,2,6,8,7,0,0,0,1,0,2,2,0,0,0,0,0
2024-09-22,18:30,La Liga,Matchweek 6,Sun,Away,W,5.0,1.0,Villarreal,3.9,2.2,63.0,22048.0,Marc-André ter Stegen,4-3-3,4-4-2,Mateo Busquets,,5,16,9,56.3,0.31,0.56,14.6,0,0,1,3.9,3.2,0.21,1.1,1.8,4,3,75.0,0,1.1,0.2,0,0,0,0,1,3,33.3,32,3,6.3,25.9,11,9.1,24.3,13,0,0.0,0,17.0,575,644,89.3,10477,3127,235,260,90.4,283,297,95.3,50,66,75.8,4,2.0,1.9,14,32,11,3,57,644,600,44,17,4,6,17,11,3,2,0,0,575,0,10,29,22,2,0,3,1,1,9,8,0,0,1,0,0
2024-09-25,21:00,La Liga,Matchweek 7,Wed,Home,W,1.0,0.0,Getafe,1.9,0.7,76.0,44407.0,Raphinha,4-2-3-1,4-1-4-1,Pablo González,,1,15,4,26.7,0.07,0.25,19.1,2,0,0,1.9,1.9,0.13,-0.9,-0.9,1,1,100.0,1,0.1,0.1,0,0,0,0,2,7,28.6,38,8,13.2,26.0,5,40.0,36.4,10,0,0.0,6,24.4,585,679,86.2,10374,3207,253,282,89.7,269,291,92.4,50,72,69.4,0,1.4,0.9,10,59,8,1,58,679,620,54,19,1,7,19,22,7,5,1,0,585,5,9,24,16,1,1,2,3,1,2,2,0,0,0,0,0
2024-09-28,21:00,La Liga,Matchweek 8,Sat,Away,L,2.0,4.0,Osasuna,0.8,2.2,73.0,22322.0,Pedri,4-3-3,4-3-3,Guillermo Cuadra,,2,12,6,50.0,0.17,0.33,19.8,1,0,0,0.8,0.8,0.07,1.2,1.2,5,1,40.0,0,2.9,-1.1,1,1,0,0,2,6,33.3,24,5,20.8,25.3,7,14.3,25.6,11,0,0.0,5,22.9,615,713,86.3,10165,3299,295,323,91.3,266,296,89.9,40,67,59.7,2,0.8,1.3,11,66,14,3,58,713,653,60,22,4,2,16,18,8,3,1,0,615,0,9,21,15,3,2,0,1,0,2,2,0,0,0,0,0
2024-10-01,21:00,Champions Lg,League phase,Tue,Home,W,5.0,0.0,ch Young Boys,3.4,0.8,69.0,45097.0,Raphinha,4-2-3-1,4-1-4-1,Erik Lambrechts,,4,21,8,38.1,0.19,0.5,15.0,0,0,0,3.4,3.4,0.17,0.6,0.6,1,1,100.0,1,0.3,0.3,0,0,0,0,0,2,0.0,22,3,4.5,18.2,2,50.0,45.0,4,0,0.0,1,9.4,633,708,89.4,10825,2921,286,305,93.8,287,311,92.3,47,70,67.1,3,3.3,1.5,15,76,14,2,72,708,663,45,17,4,3,21,16,9,2,3,0,633,0,5,30,15,6,3,3,1,2,5,0,1,0,3,1,0
2024-10-06,16:15,La Liga,Matchweek 9,Sun,Away,W,3.0,0.0,Alavés,2.7,0.7,71.0,19468.0,Raphinha,4-2-3-1,4-2-3-1,Miguel Ángel Ortiz Arias,,3,15,9,60.0,0.2,0.33,16.8,1,0,0,2.7,2.7,0.18,0.3,0.3,2,2,100.0,1,0.4,0.4,0,0,0,0,5,11,45.5,53,1,13.2,25.6,9,44.4,34.1,13,0,0.0,7,20.1,616,688,89.5,10419,3260,293,314,93.3,251,269,93.3,51,74,68.9,3,2.6,1.6,11,30,7,1,33,688,633,52,23,2,4,7,16,3,1,0,0,616,3,3,28,17,3,2,4,2,0,6,3,1,1,0,1,0
2024-10-20,21:00,La Liga,Matchweek 10,Sun,Home,W,5.0,1.0,Sevilla,3.8,1.0,67.0,47848.0,Raphinha,4-2-3-1,4-2-3-1,Ricardo de Burgos,,5,20,8,40.0,0.2,0.5,17.9,1,1,1,3.8,3.1,0.16,1.2,0.9,1,0,0.0,0,0.8,-0.2,0,0,0,0,0,2,0.0,40,2,5.0,22.3,4,0.0,25.3,4,0,0.0,7,28.0,578,652,88.7,10233,2909,249,271,91.9,285,304,93.8,40,56,71.4,2,2.7,1.8,14,56,9,1,59,652,604,45,14,7,6,14,20,5,3,0,0,578,3,12,39,30,1,3,3,2,0,9,6,0,0,1,2,0
2024-10-23,21:00,Champions Lg,League phase,Wed,Home,W,4.0,1.0,de Bayern Munich,1.4,1.0,39.0,50312.0,Raphinha,4-2-3-1,4-2-3-1,Slavko Vinčič,,4,12,4,33.3,0.33,1.0,14.4,0,0,0,1.4,1.4,0.12,2.6,2.6,3,2,66.7,0,1.1,0.1,0,0,0,0,3,12,25.0,41,2,24.4,30.3,6,33.3,32.5,13,0,0.0,2,12.9,324,396,81.8,5838,2206,132,147,89.8,155,174,89.1,32,56,57.1,4,1.2,0.7,9,17,2,0,17,396,352,43,13,6,1,4,17,5,2,0,0,324,1,13,21,15,2,1,3,0,0,8,7,0,1,0,0,0
